Order_ID,User_ID,Dish_ID,Dish_Name,Ingredients_List,Dish_Rating,Order_Date,Quantity,Order_Price,Delivery_Location,User_Age,User_Gender,User_Preferences,Month,Season,Vendor_ID,Cluster
80,106,1489,Gajar Halwa,"Carrots, Milk, Sugar, Ghee, Cardamom",1.3,2024-04-07,3,59,Raichur,38,Female,1,Apr,2,V4,0
174,102,1114,Chicken Curry,"Chicken, Tomatoes",1.7,2024-09-07,5,67,Fatehpur,27,Male,0,Sep,0,V9,1
14,131,1381,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.5,2024-04-24,5,136,Darbhanga,48,Female,1,Apr,1,V1,0
127,109,1437,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.7,2024-09-08,3,120,Sikar,32,Female,1,Sep,0,V1,0
51,125,1461,Dosa,"Rice, Urad Dal, Potatoes",1.2,2024-05-21,2,90,Bathinda,42,Male,1,May,1,V7,0
39,100,1334,Kadhi,"Gram Flour, Yogurt",4.1,2024-05-29,5,139,Sultan Pur Majra,21,Female,1,May,0,V9,0
85,130,1019,Chawal,"Rice, Water",4.4,2024-04-29,1,139,Sultan Pur Majra,48,Male,1,Apr,0,V4,0
136,112,1133,Masoor Dal,"Red Lentils, Tomatoes",1.1,2024-01-24,5,85,Bhubaneswar,28,Female,1,Jan,1,V8,0
76,111,1432,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",3.1,2024-01-09,3,113,Siwan,42,Male,1,Jan,1,V1,0
127,109,1437,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.7,2024-09-08,3,120,Sikar,32,Female,1,Sep,0,V1,0
25,122,1277,Aloo Gobi,"Potatoes, Cauliflower",4.3,2024-03-08,5,112,Korba,27,Male,1,Mar,0,V5,0
194,116,1354,Idli,"Rice, Urad Dal, Fenugreek Seeds",4.0,2024-09-19,2,143,Pimpri-Chinchwad,28,Female,1,Sep,2,V3,0
118,146,1269,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",3.6,2024-07-28,3,81,Jamshedpur,47,Male,1,Jul,1,V2,0
84,140,1221,Korma,"Meat or Vegetables, Yogurt",4.7,2024-07-20,5,143,Malda,48,Male,0,Jul,0,V10,1
151,127,1233,Rajma Chawal,"Kidney Beans, Rice",4.1,2024-07-10,4,77,Katni,34,Male,1,Jul,1,V6,0
52,144,1029,Chicken Curry,"Chicken, Tomatoes",4.3,2024-02-13,4,60,Latur,45,Female,0,Feb,0,V2,1
57,130,1196,Egg Curry,"Eggs, Tomatoes",2.3,2024-02-24,4,73,Junagadh,48,Male,0,Feb,1,V10,0
54,102,1441,Korma,"Meat or Vegetables, Yogurt",2.4,2024-04-06,5,90,Bijapur,29,Female,0,Apr,2,V2,1
195,130,1493,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",1.3,2024-04-19,3,69,Nadiad,23,Male,1,Apr,1,V4,0
18,145,1311,Palak Paneer,"Spinach, Paneer, Tomatoes",2.9,2024-07-09,4,194,Asansol,44,Male,1,Jul,1,V2,0
138,127,1060,Korma,"Meat or Vegetables, Yogurt",4.0,2024-01-26,1,187,Bardhaman,42,Male,0,Jan,2,V3,1
52,144,1029,Chicken Curry,"Chicken, Tomatoes",4.3,2024-02-13,4,60,Latur,45,Female,0,Feb,0,V2,1
194,116,1354,Idli,"Rice, Urad Dal, Fenugreek Seeds",4.0,2024-09-19,2,143,Pimpri-Chinchwad,28,Female,1,Sep,2,V3,0
3,106,1337,Thepla,"Wheat Flour, Fenugreek Leaves",4.4,2024-03-02,3,98,Bettiah,38,Female,1,Mar,0,V3,0
33,138,1137,Matar Paneer,"Paneer, Peas, Tomatoes",4.8,2024-07-26,2,50,Thrissur,45,Female,1,Jul,0,V9,0
53,106,1191,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",4.6,2024-02-22,5,93,Gaya,35,Female,1,Feb,2,V8,0
59,142,1071,Biryani,"Basmati Rice, Chicken or Vegetables",4.3,2024-07-23,5,101,Ghaziabad,27,Female,0,Jul,2,V8,1
62,144,1409,Dosa,"Rice, Urad Dal, Potatoes",3.0,2024-03-14,2,176,Jhansi,43,Male,1,Mar,1,V4,0
51,125,1461,Dosa,"Rice, Urad Dal, Potatoes",1.2,2024-05-21,2,90,Bathinda,42,Male,1,May,1,V7,0
88,138,1382,Aloo Gobi,"Potatoes, Cauliflower",1.5,2024-06-13,1,186,Thoothukudi,40,Female,1,Jun,0,V9,0
18,145,1311,Palak Paneer,"Spinach, Paneer, Tomatoes",2.9,2024-07-09,4,194,Asansol,44,Male,1,Jul,1,V2,0
17,136,1262,Roti,"Wheat Flour, Water, Ghee",1.8,2024-06-05,1,68,Tirunelveli,31,Male,1,Jun,0,V6,0
54,102,1441,Korma,"Meat or Vegetables, Yogurt",2.4,2024-04-06,5,90,Bijapur,29,Female,0,Apr,2,V2,1
108,114,1182,Masoor Dal,"Red Lentils, Tomatoes",3.4,2024-02-12,5,73,Rajkot,39,Female,1,Feb,0,V10,0
197,133,1021,Chawal,"Rice, Water",4.2,2024-06-22,5,69,Kavali,44,Male,1,Jun,1,V2,0
51,125,1461,Dosa,"Rice, Urad Dal, Potatoes",1.2,2024-05-21,2,90,Bathinda,42,Male,1,May,1,V7,0
164,124,1176,Palak Paneer,"Spinach, Paneer, Tomatoes",3.9,2024-09-17,4,56,Kamarhati,48,Female,1,Sep,1,V5,0
191,123,1175,Thepla,"Wheat Flour, Fenugreek Leaves",2.0,2024-03-09,3,71,Shivpuri,43,Female,1,Mar,0,V5,0
14,131,1381,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.5,2024-04-24,5,136,Darbhanga,48,Female,1,Apr,1,V1,0
157,106,1178,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.0,2024-03-16,4,128,Gorakhpur,48,Male,1,Mar,1,V9,0
19,125,1297,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",4.5,2024-03-07,5,164,Gandhidham,38,Female,1,Mar,1,V5,0
93,119,1275,Masoor Dal,"Red Lentils, Tomatoes",2.2,2024-02-15,3,76,Nashik,39,Male,1,Feb,2,V10,0
87,146,1071,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.2,2024-04-29,1,159,Surendranagar Dudhrej,44,Female,1,Apr,0,V2,0
130,134,1158,Dal Tadka,"Yellow Lentils, Tomatoes",2.9,2024-08-06,3,88,Bijapur,24,Male,1,Aug,2,V2,0
103,149,1065,Palak Paneer,"Spinach, Paneer, Tomatoes",3.5,2024-08-15,3,119,Madhyamgram,37,Male,1,Aug,2,V1,0
137,141,1078,Fish Fry,Fish,3.7,2024-08-21,3,112,Nagercoil,35,Male,0,Aug,1,V5,1
50,139,1275,Fish Fry,Fish,3.1,2024-04-03,1,132,New Delhi,44,Male,0,Apr,1,V3,1
138,127,1060,Korma,"Meat or Vegetables, Yogurt",4.0,2024-01-26,1,187,Bardhaman,42,Male,0,Jan,2,V3,1
12,141,1294,Rajma Chawal,"Kidney Beans, Rice",1.4,2024-08-21,1,177,Muzaffarpur,23,Male,1,Aug,0,V4,0
82,142,1044,Aloo Gobi,"Potatoes, Cauliflower",4.7,2024-03-28,2,125,Korba,43,Female,1,Mar,0,V10,0
199,132,1123,Mutton Keema,Minced Mutton,4.3,2024-05-29,3,146,Shimoga,33,Male,0,May,0,V7,1
6,141,1250,Haldi Ki Sabzi,"Turmeric Root, Yogurt",3.5,2024-05-02,3,113,Kulti,21,Female,1,May,2,V7,0
176,144,1371,Roti,"Wheat Flour, Water, Ghee",4.2,2024-06-05,2,112,Bhilwara,36,Female,1,Jun,0,V6,0
101,118,1235,Pulao,"Basmati Rice, Mixed Vegetables",2.9,2024-01-17,2,138,Agra,39,Male,1,Jan,1,V2,0
121,138,1256,Matar Paneer,"Paneer, Peas, Tomatoes",4.2,2024-08-21,1,195,Hospet,21,Female,1,Aug,2,V5,0
32,121,1455,Egg Curry,"Eggs, Tomatoes",2.2,2024-06-30,1,123,Chennai,36,Female,0,Jun,2,V4,0
155,146,1252,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",4.3,2024-04-07,3,89,Sikar,36,Female,1,Apr,0,V1,0
110,103,1355,Chawal,"Rice, Water",4.3,2024-01-08,4,193,Proddatur,37,Female,1,Jan,0,V2,0
2,113,1152,Dosa,"Rice, Urad Dal, Potatoes",4.1,2024-01-14,2,86,Ambarnath,21,Male,1,Jan,1,V6,0
80,106,1489,Gajar Halwa,"Carrots, Milk, Sugar, Ghee, Cardamom",1.3,2024-04-07,3,59,Raichur,38,Female,1,Apr,2,V4,0
189,116,1077,Palak Paneer,"Spinach, Paneer, Tomatoes",1.8,2024-07-15,1,72,Jehanabad,24,Female,1,Jul,0,V7,0
3,106,1337,Thepla,"Wheat Flour, Fenugreek Leaves",4.4,2024-03-02,3,98,Bettiah,38,Female,1,Mar,0,V3,0
56,113,1244,Masoor Dal,"Red Lentils, Tomatoes",4.2,2024-02-19,4,129,Gurgaon,37,Female,1,Feb,1,V2,0
167,123,1164,Egg Curry,"Eggs, Tomatoes",1.9,2024-06-29,3,128,Jodhpur,40,Female,0,Jun,2,V8,0
40,140,1371,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",4.3,2024-01-28,5,78,Surendranagar Dudhrej,39,Male,1,Jan,0,V3,0
78,132,1063,Fish Fry,Fish,3.8,2024-03-13,2,120,Kolhapur,36,Female,0,Mar,1,V1,1
154,130,1097,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",3.6,2024-03-12,1,83,Bhubaneswar,33,Female,1,Mar,0,V10,0
116,116,1077,Idli,"Rice, Urad Dal, Fenugreek Seeds",1.8,2024-09-04,2,190,Sasaram,21,Male,1,Sep,2,V1,0
48,139,1343,Sarson Ka Saag,"Mustard Greens, Spinach",3.5,2024-08-27,3,110,Bulandshahr,42,Male,1,Aug,0,V3,0
77,133,1025,Fish Fry,Fish,3.7,2024-03-13,3,112,Kolhapur,36,Female,0,Mar,1,V1,1
75,124,1124,Thepla,"Wheat Flour, Fenugreek Leaves",1.6,2024-07-31,2,51,Gurgaon,39,Female,1,Jul,1,V2,0
79,113,1264,Egg Curry,"Eggs, Tomatoes",2.0,2024-08-17,3,154,Katni,45,Male,0,Aug,1,V5,0
61,119,1218,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",2.0,2024-03-05,4,111,Raiganj,20,Male,1,Mar,1,V10,0
175,100,1471,Haldi Ki Sabzi,"Turmeric Root, Yogurt",3.5,2024-03-29,1,111,Sonipat,38,Male,1,Mar,2,V4,0
12,141,1294,Rajma Chawal,"Kidney Beans, Rice",1.4,2024-08-21,1,177,Muzaffarpur,23,Male,1,Aug,0,V4,0
162,145,1296,Palak Paneer,"Spinach, Paneer, Tomatoes",1.5,2024-07-26,5,143,Karimnagar,36,Male,1,Jul,0,V6,0
109,137,1287,Kadhi,"Gram Flour, Yogurt",1.3,2024-03-20,4,155,Ambattur,28,Female,1,Mar,1,V9,0
61,119,1218,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",2.0,2024-03-05,4,111,Raiganj,20,Male,1,Mar,1,V10,0
34,129,1158,Dosa,"Rice, Urad Dal, Potatoes",3.3,2024-03-11,3,83,Ajmer,20,Female,1,Mar,2,V10,0
11,149,1173,Mutton Keema,Minced Mutton,4.3,2024-05-22,3,149,Shimoga,33,Male,0,May,0,V7,1
96,118,1147,Kadhi,"Gram Flour, Yogurt",4.0,2024-09-14,4,154,Jamalpur,48,Male,1,Sep,2,V8,0
108,114,1182,Masoor Dal,"Red Lentils, Tomatoes",3.4,2024-02-12,5,73,Arunoday,29,Male,1,Feb,2,V10,0
146,132,1128,Chicken Curry,"Chicken, Tomatoes",3.3,2024-08-05,1,127,Nangloi Jat,41,Male,0,Aug,0,V6,1
94,108,1259,Chawal,"Rice, Water",1.4,2024-04-29,1,57,Mahbubnagar,34,Female,1,Apr,0,V4,0
82,142,1044,Aloo Gobi,"Potatoes, Cauliflower",4.7,2024-03-28,2,125,Korba,43,Female,1,Mar,0,V10,0
124,106,1071,Matar Paneer,"Paneer, Peas, Tomatoes",4.9,2024-09-04,3,79,Bhopal,40,Male,1,Sep,2,V2,0
58,129,1231,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",4.3,2024-09-15,1,114,Gudivada,44,Male,1,Sep,0,V8,0
126,124,1350,Biryani,"Basmati Rice, Chicken or Vegetables",4.7,2024-08-12,3,119,Raichur,37,Male,0,Aug,2,V9,1
61,119,1218,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",2.0,2024-03-05,4,111,Raiganj,20,Male,1,Mar,1,V10,0
63,112,1068,Matar Paneer,"Paneer, Peas, Tomatoes",1.9,2024-03-30,1,60,Haridwar,33,Female,1,Mar,2,V4,0
64,140,1124,Roti,"Wheat Flour, Water, Ghee",1.4,2024-09-06,3,73,Gudivada,37,Male,1,Sep,0,V8,0
89,130,1275,Thepla,"Wheat Flour, Fenugreek Leaves",2.6,2024-01-04,2,69,Jaunpur,35,Female,1,Jan,0,V8,0
136,112,1133,Masoor Dal,"Red Lentils, Tomatoes",1.1,2024-01-24,5,85,Bhubaneswar,28,Female,1,Jan,1,V8,0
92,133,1356,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",2.8,2024-07-29,4,193,Mau,30,Female,1,Jul,0,V5,0
144,123,1397,Idli,"Rice, Urad Dal, Fenugreek Seeds",1.1,2024-03-08,2,148,New Delhi,28,Male,1,Mar,1,V4,0
133,118,1425,Biryani,"Basmati Rice, Chicken or Vegetables",3.3,2024-01-02,5,118,Katihar,49,Male,0,Jan,0,V8,1
25,122,1277,Aloo Gobi,"Potatoes, Cauliflower",4.3,2024-03-08,5,112,Korba,27,Male,1,Mar,0,V5,0
125,125,1028,Haldi Ki Sabzi,"Turmeric Root, Yogurt",2.2,2024-02-15,2,160,Delhi,49,Female,1,Feb,0,V3,0
145,115,1373,Matar Paneer,"Paneer, Peas, Tomatoes",4.0,2024-05-10,3,110,Thrissur,42,Male,1,May,2,V3,0
110,103,1355,Chawal,"Rice, Water",4.3,2024-01-08,4,193,Proddatur,37,Female,1,Jan,0,V2,0
101,118,1235,Pulao,"Basmati Rice, Mixed Vegetables",2.9,2024-01-17,2,138,Agra,39,Male,1,Jan,1,V2,0
126,124,1350,Biryani,"Basmati Rice, Chicken or Vegetables",4.7,2024-08-12,3,119,Raichur,37,Male,0,Aug,2,V9,1
118,146,1269,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",3.6,2024-07-28,3,81,Jamshedpur,47,Male,1,Jul,1,V2,0
83,106,1049,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.3,2024-09-12,1,198,Machilipatnam,40,Female,1,Sep,2,V7,0
17,136,1262,Roti,"Wheat Flour, Water, Ghee",1.8,2024-06-05,1,68,Tirunelveli,31,Male,1,Jun,0,V6,0
81,123,1191,Rajma Chawal,"Kidney Beans, Rice",3.6,2024-03-17,5,129,Patna,39,Female,1,Mar,1,V2,0
94,108,1259,Chawal,"Rice, Water",1.4,2024-04-29,1,57,Mahbubnagar,34,Female,1,Apr,0,V4,0
64,140,1124,Roti,"Wheat Flour, Water, Ghee",1.4,2024-09-06,3,73,Gudivada,37,Male,1,Sep,0,V8,0
105,101,1487,Biryani,"Basmati Rice, Chicken or Vegetables",3.8,2024-01-03,3,74,Hazaribagh,25,Male,0,Jan,1,V2,1
36,132,1113,Palak Paneer,"Spinach, Paneer, Tomatoes",2.9,2024-08-30,1,149,Thanjavur,45,Female,1,Aug,0,V2,0
90,121,1205,Masoor Dal,"Red Lentils, Tomatoes",3.8,2024-04-13,4,75,Indore,31,Male,1,Apr,0,V10,0
129,142,1310,Mutton Keema,Minced Mutton,1.2,2024-02-21,2,140,Chapra,37,Female,0,Feb,1,V7,1
31,103,1327,Korma,"Meat or Vegetables, Yogurt",3.4,2024-05-23,3,199,Cuttack,30,Male,0,May,0,V5,1
39,100,1334,Kadhi,"Gram Flour, Yogurt",4.1,2024-05-29,5,139,Sultan Pur Majra,21,Female,1,May,0,V9,0
92,133,1356,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",2.8,2024-07-29,4,193,Mau,30,Female,1,Jul,0,V5,0
72,109,1465,Matar Paneer,"Paneer, Peas, Tomatoes",1.1,2024-07-04,3,135,Amroha,22,Male,1,Jul,2,V1,0
136,112,1133,Masoor Dal,"Red Lentils, Tomatoes",1.1,2024-01-24,5,85,Bhubaneswar,28,Female,1,Jan,1,V8,0
130,134,1158,Dal Tadka,"Yellow Lentils, Tomatoes",2.9,2024-08-06,3,88,Bijapur,24,Male,1,Aug,2,V2,0
73,145,1099,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",4.7,2024-04-16,3,52,Fatehpur,30,Male,1,Apr,1,V7,0
160,124,1245,Dal Tadka,"Yellow Lentils, Tomatoes",3.0,2024-01-03,4,102,Saharsa,22,Female,1,Jan,0,V1,0
175,100,1471,Haldi Ki Sabzi,"Turmeric Root, Yogurt",3.5,2024-03-29,1,111,Sonipat,38,Male,1,Mar,2,V4,0
196,119,1394,Thepla,"Wheat Flour, Fenugreek Leaves",2.6,2024-03-31,5,169,Chennai,45,Female,1,Mar,1,V2,0
173,122,1425,Pulao,"Basmati Rice, Mixed Vegetables",1.1,2024-01-24,4,186,Muzaffarnagar,45,Female,1,Jan,2,V3,0
136,112,1133,Masoor Dal,"Red Lentils, Tomatoes",1.1,2024-01-24,5,85,Bhubaneswar,28,Female,1,Jan,1,V8,0
47,130,1275,Thepla,"Wheat Flour, Fenugreek Leaves",2.6,2024-01-01,1,149,Jaunpur,35,Female,1,Jan,0,V8,0
116,116,1077,Idli,"Rice, Urad Dal, Fenugreek Seeds",1.8,2024-09-04,2,190,Sasaram,21,Male,1,Sep,2,V1,0
145,115,1373,Matar Paneer,"Paneer, Peas, Tomatoes",4.0,2024-05-10,3,110,Thrissur,42,Male,1,May,2,V3,0
75,124,1124,Thepla,"Wheat Flour, Fenugreek Leaves",1.6,2024-07-31,2,51,Gurgaon,39,Female,1,Jul,1,V2,0
161,115,1343,Masoor Dal,"Red Lentils, Tomatoes",1.5,2024-07-11,4,75,Bongaigaon,29,Male,1,Jul,0,V7,0
65,100,1417,Thepla,"Wheat Flour, Fenugreek Leaves",1.9,2024-07-01,1,90,Amritsar,45,Male,1,Jul,0,V7,0
171,141,1343,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",1.3,2024-04-14,1,166,Ghaziabad,21,Female,1,Apr,2,V4,0
122,142,1165,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",1.8,2024-01-08,4,199,Howrah,21,Female,1,Jan,0,V7,0
110,103,1355,Chicken Curry,"Chicken, Tomatoes",1.7,2024-07-08,5,160,Nangloi Jat,41,Male,0,Jul,0,V6,1
159,103,1380,Aloo Gobi,"Potatoes, Cauliflower",3.3,2024-08-22,1,187,Thiruvananthapuram,40,Male,1,Aug,0,V9,0
193,115,1156,Fish Fry,Fish,2.0,2024-05-07,1,156,Jammu,41,Male,0,May,0,V1,1
96,118,1147,Kadhi,"Gram Flour, Yogurt",4.0,2024-09-14,4,154,Jamalpur,48,Male,1,Sep,2,V8,0
33,138,1137,Matar Paneer,"Paneer, Peas, Tomatoes",4.8,2024-07-26,2,50,Thrissur,45,Female,1,Jul,0,V9,0
188,116,1305,Idli,"Rice, Urad Dal, Fenugreek Seeds",2.7,2024-05-21,5,143,Pimpri-Chinchwad,28,Female,1,May,2,V3,0
11,149,1173,Mutton Keema,Minced Mutton,4.3,2024-05-22,3,149,Shimoga,33,Male,0,May,0,V7,1
184,105,1103,Fish Fry,Fish,4.3,2024-09-18,3,106,Barasat,45,Male,0,Sep,2,V8,1
198,129,1486,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",1.3,2024-05-03,2,74,Belgaum,47,Female,1,May,1,V7,0
30,114,1151,Aloo Gobi,"Potatoes, Cauliflower",4.8,2024-02-29,3,187,Raiganj,36,Male,1,Feb,2,V2,0
197,133,1021,Chawal,"Rice, Water",4.2,2024-06-22,5,69,Kavali,44,Male,1,Jun,1,V2,0
151,127,1233,Rajma Chawal,"Kidney Beans, Rice",4.1,2024-07-10,4,77,Katni,34,Male,1,Jul,1,V6,0
133,118,1425,Biryani,"Basmati Rice, Chicken or Vegetables",3.3,2024-01-02,5,118,Katihar,49,Male,0,Jan,0,V8,1
199,132,1123,Masoor Dal,"Red Lentils, Tomatoes",4.8,2024-05-16,4,129,Shivpuri,22,Male,1,May,0,V2,0
106,127,1335,Idli,"Rice, Urad Dal, Fenugreek Seeds",2.5,2024-03-21,1,71,Alwar,38,Female,1,Mar,2,V8,0
198,129,1486,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",1.3,2024-05-03,2,74,Belgaum,47,Female,1,May,1,V7,0
127,109,1437,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.7,2024-09-08,3,120,Sikar,32,Female,1,Sep,0,V1,0
168,135,1469,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",2.8,2024-01-24,1,176,Davanagere,39,Male,1,Jan,2,V10,0
67,123,1379,Dal Tadka,"Yellow Lentils, Tomatoes",2.8,2024-02-18,1,197,Meerut,24,Female,1,Feb,0,V3,0
147,130,1228,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",1.1,2024-03-08,1,157,Phusro,31,Male,1,Mar,2,V3,0
119,123,1074,Haldi Ki Sabzi,"Turmeric Root, Yogurt",1.3,2024-08-29,2,83,Tadepalligudem,47,Female,1,Aug,2,V3,0
166,138,1491,Dal Tadka,"Yellow Lentils, Tomatoes",4.2,2024-02-03,5,145,Panipat,44,Female,1,Feb,0,V6,0
20,138,1311,Roti,"Wheat Flour, Water, Ghee",4.6,2024-01-14,3,52,Imphal,48,Female,1,Jan,2,V7,0
18,145,1311,Palak Paneer,"Spinach, Paneer, Tomatoes",2.9,2024-07-09,4,194,Asansol,44,Male,1,Jul,1,V2,0
6,141,1250,Haldi Ki Sabzi,"Turmeric Root, Yogurt",3.5,2024-05-02,3,113,Kulti,21,Female,1,May,2,V7,0
147,130,1228,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",1.1,2024-03-08,1,157,Phusro,31,Male,1,Mar,2,V3,0
132,146,1078,Chawal,"Rice, Water",2.9,2024-05-04,2,187,Proddatur,37,Female,1,May,1,V2,0
142,119,1047,Chawal,"Rice, Water",2.9,2024-04-13,4,79,Sangli-Miraj & Kupwad,44,Female,1,Apr,0,V4,0
141,142,1130,Haldi Ki Sabzi,"Turmeric Root, Yogurt",2.2,2024-05-03,4,115,Rajpur Sonarpur,22,Female,1,May,2,V1,0
169,130,1321,Masoor Dal,"Red Lentils, Tomatoes",2.1,2024-05-12,3,127,Muzaffarpur,40,Female,1,May,1,V6,0
51,125,1461,Dosa,"Rice, Urad Dal, Potatoes",1.2,2024-05-21,2,90,Bathinda,42,Male,1,May,1,V7,0
173,122,1425,Pulao,"Basmati Rice, Mixed Vegetables",1.1,2024-01-24,4,186,Muzaffarnagar,45,Female,1,Jan,2,V3,0
126,124,1350,Biryani,"Basmati Rice, Chicken or Vegetables",4.7,2024-08-12,3,119,Raichur,37,Male,0,Aug,2,V9,1
