Order_ID,User_ID,Dish_ID,Dish_Name,Ingredients_List,Dish_Rating,Order_Date,Quantity,Order_Price,Delivery_Location,User_Age,User_Gender,User_Preferences,Month,Season,Vendor_ID
88,138,1382,Aloo Gobi,"Potatoes, Cauliflower",1.5,2024-06-13,1,186,Thoothukudi,40,Female,Vegetarian,Jun,Monsoon,V9
18,145,1311,Palak Paneer,"Spinach, Paneer, Tomatoes",2.9,2024-07-09,4,194,Asansol,44,Male,Vegetarian,Jul,Summer,V2
17,136,1262,Roti,"Wheat Flour, Water, Ghee",1.8,2024-06-05,1,68,Tirunelveli,31,Male,Vegetarian,Jun,Monsoon,V6
54,102,1441,Korma,"Meat or Vegetables, Yogurt",2.4,2024-04-06,5,90,Bijapur,29,Female,Non-Vegetarian,Apr,Winter,V2
108,114,1182,Masoor Dal,"Red Lentils, Tomatoes",3.4,2024-02-12,5,73,Rajkot,39,Female,Vegetarian,Feb,Monsoon,V10
197,133,1021,Chawal,"Rice, Water",4.2,2024-06-22,5,69,Kavali,44,Male,Vegetarian,Jun,Summer,V2
51,125,1461,Dosa,"Rice, Urad Dal, Potatoes",1.2,2024-05-21,2,90,Bathinda,42,Male,Vegetarian,May,Summer,V7
164,124,1176,Palak Paneer,"Spinach, Paneer, Tomatoes",3.9,2024-09-17,4,56,Kamarhati,48,Female,Vegetarian,Sep,Summer,V5
191,123,1175,Thepla,"Wheat Flour, Fenugreek Leaves",2.0,2024-03-09,3,71,Shivpuri,43,Female,Vegetarian,Mar,Monsoon,V5
14,131,1381,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.5,2024-04-24,5,136,Darbhanga,48,Female,Vegetarian,Apr,Summer,V1
157,106,1178,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.0,2024-03-16,4,128,Gorakhpur,48,Male,Vegetarian,Mar,Summer,V9
19,125,1297,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",4.5,2024-03-07,5,164,Gandhidham,38,Female,Vegetarian,Mar,Summer,V5
93,119,1275,Masoor Dal,"Red Lentils, Tomatoes",2.2,2024-02-15,3,76,Nashik,39,Male,Vegetarian,Feb,Winter,V10
87,146,1071,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.2,2024-04-29,1,159,Surendranagar Dudhrej,44,Female,Vegetarian,Apr,Monsoon,V2
130,134,1158,Dal Tadka,"Yellow Lentils, Tomatoes",2.9,2024-08-06,3,88,Bijapur,24,Male,Vegetarian,Aug,Winter,V2
103,149,1065,Palak Paneer,"Spinach, Paneer, Tomatoes",3.5,2024-08-15,3,119,Madhyamgram,37,Male,Vegetarian,Aug,Winter,V1
137,141,1078,Fish Fry,Fish,3.7,2024-08-21,3,112,Nagercoil,35,Male,Non-Vegetarian,Aug,Summer,V5
50,139,1275,Fish Fry,Fish,3.1,2024-04-03,1,132,New Delhi,44,Male,Non-Vegetarian,Apr,Summer,V3
138,127,1060,Korma,"Meat or Vegetables, Yogurt",4.0,2024-01-26,1,187,Bardhaman,42,Male,Non-Vegetarian,Jan,Winter,V3
12,141,1294,Rajma Chawal,"Kidney Beans, Rice",1.4,2024-08-21,1,177,Muzaffarpur,23,Male,Vegetarian,Aug,Monsoon,V4
82,142,1044,Aloo Gobi,"Potatoes, Cauliflower",4.7,2024-03-28,2,125,Korba,43,Female,Vegetarian,Mar,Monsoon,V10
199,132,1123,Mutton Keema,Minced Mutton,4.3,2024-05-29,3,146,Shimoga,33,Male,Non-Vegetarian,May,Monsoon,V7
6,141,1250,Haldi Ki Sabzi,"Turmeric Root, Yogurt",3.5,2024-05-02,3,113,Kulti,21,Female,Vegetarian,May,Winter,V7
176,144,1371,Roti,"Wheat Flour, Water, Ghee",4.2,2024-06-05,2,112,Bhilwara,36,Female,Vegetarian,Jun,Monsoon,V6
101,118,1235,Pulao,"Basmati Rice, Mixed Vegetables",2.9,2024-01-17,2,138,Agra,39,Male,Vegetarian,Jan,Summer,V2
121,138,1256,Matar Paneer,"Paneer, Peas, Tomatoes",4.2,2024-08-21,1,195,Hospet,21,Female,Vegetarian,Aug,Winter,V5
32,121,1455,Egg Curry,"Eggs, Tomatoes",2.2,2024-06-30,1,123,Chennai,36,Female,Non-Vegetarian,Jun,Winter,V4
155,146,1252,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",4.3,2024-04-07,3,89,Sikar,36,Female,Vegetarian,Apr,Monsoon,V1
110,103,1355,Chawal,"Rice, Water",4.3,2024-01-08,4,193,Proddatur,37,Female,Vegetarian,Jan,Monsoon,V2
2,113,1152,Dosa,"Rice, Urad Dal, Potatoes",4.1,2024-01-14,2,86,Ambarnath,21,Male,Vegetarian,Jan,Summer,V6
80,106,1489,Gajar Halwa,"Carrots, Milk, Sugar, Ghee, Cardamom",1.3,2024-04-07,3,59,Raichur,38,Female,Vegetarian,Apr,Winter,V4
189,116,1077,Palak Paneer,"Spinach, Paneer, Tomatoes",1.8,2024-07-15,1,72,Jehanabad,24,Female,Vegetarian,Jul,Monsoon,V7
3,106,1337,Thepla,"Wheat Flour, Fenugreek Leaves",4.4,2024-03-02,3,98,Bettiah,38,Female,Vegetarian,Mar,Monsoon,V3
56,113,1244,Masoor Dal,"Red Lentils, Tomatoes",4.2,2024-02-19,4,129,Gurgaon,37,Female,Vegetarian,Feb,Summer,V2
167,123,1164,Egg Curry,"Eggs, Tomatoes",1.9,2024-06-29,3,128,Jodhpur,40,Female,Non-Vegetarian,Jun,Winter,V8
40,140,1371,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",4.3,2024-01-28,5,78,Surendranagar Dudhrej,39,Male,Vegetarian,Jan,Monsoon,V3
78,132,1063,Fish Fry,Fish,3.8,2024-03-13,2,120,Kolhapur,36,Female,Non-Vegetarian,Mar,Summer,V1
154,130,1097,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",3.6,2024-03-12,1,83,Bhubaneswar,33,Female,Vegetarian,Mar,Monsoon,V10
116,116,1077,Idli,"Rice, Urad Dal, Fenugreek Seeds",1.8,2024-09-04,2,190,Sasaram,21,Male,Vegetarian,Sep,Winter,V1
48,139,1343,Sarson Ka Saag,"Mustard Greens, Spinach",3.5,2024-08-27,3,110,Bulandshahr,42,Male,Vegetarian,Aug,Monsoon,V3
77,133,1025,Fish Fry,Fish,3.7,2024-03-13,3,112,Kolhapur,36,Female,Non-Vegetarian,Mar,Summer,V1
75,124,1124,Thepla,"Wheat Flour, Fenugreek Leaves",1.6,2024-07-31,2,51,Gurgaon,39,Female,Vegetarian,Jul,Summer,V2
79,113,1264,Egg Curry,"Eggs, Tomatoes",2.0,2024-08-17,3,154,Katni,45,Male,Non-Vegetarian,Aug,Summer,V5
61,119,1218,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",2.0,2024-03-05,4,111,Raiganj,20,Male,Vegetarian,Mar,Summer,V10
175,100,1471,Haldi Ki Sabzi,"Turmeric Root, Yogurt",3.5,2024-03-29,1,111,Sonipat,38,Male,Vegetarian,Mar,Winter,V4
12,141,1294,Rajma Chawal,"Kidney Beans, Rice",1.4,2024-08-21,1,177,Muzaffarpur,23,Male,Vegetarian,Aug,Monsoon,V4
162,145,1296,Palak Paneer,"Spinach, Paneer, Tomatoes",1.5,2024-07-26,5,143,Karimnagar,36,Male,Vegetarian,Jul,Monsoon,V6
109,137,1287,Kadhi,"Gram Flour, Yogurt",1.3,2024-03-20,4,155,Ambattur,28,Female,Vegetarian,Mar,Summer,V9
61,119,1218,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",2.0,2024-03-05,4,111,Raiganj,20,Male,Vegetarian,Mar,Summer,V10
34,129,1158,Dosa,"Rice, Urad Dal, Potatoes",3.3,2024-03-11,3,83,Ajmer,20,Female,Vegetarian,Mar,Winter,V10
11,149,1173,Mutton Keema,Minced Mutton,4.3,2024-05-22,3,149,Shimoga,33,Male,Non-Vegetarian,May,Monsoon,V7
96,118,1147,Kadhi,"Gram Flour, Yogurt",4.0,2024-09-14,4,154,Jamalpur,48,Male,Vegetarian,Sep,Winter,V8
108,114,1182,Masoor Dal,"Red Lentils, Tomatoes",3.4,2024-02-12,5,73,Arunoday,29,Male,Vegetarian,Feb,Winter,V10
146,132,1128,Chicken Curry,"Chicken, Tomatoes",3.3,2024-08-05,1,127,Nangloi Jat,41,Male,Non-Vegetarian,Aug,Monsoon,V6
94,108,1259,Chawal,"Rice, Water",1.4,2024-04-29,1,57,Mahbubnagar,34,Female,Vegetarian,Apr,Monsoon,V4
82,142,1044,Aloo Gobi,"Potatoes, Cauliflower",4.7,2024-03-28,2,125,Korba,43,Female,Vegetarian,Mar,Monsoon,V10
124,106,1071,Matar Paneer,"Paneer, Peas, Tomatoes",4.9,2024-09-04,3,79,Bhopal,40,Male,Vegetarian,Sep,Winter,V2
58,129,1231,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",4.3,2024-09-15,1,114,Gudivada,44,Male,Vegetarian,Sep,Monsoon,V8
126,124,1350,Biryani,"Basmati Rice, Chicken or Vegetables",4.7,2024-08-12,3,119,Raichur,37,Male,Non-Vegetarian,Aug,Winter,V9
61,119,1218,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",2.0,2024-03-05,4,111,Raiganj,20,Male,Vegetarian,Mar,Summer,V10
63,112,1068,Matar Paneer,"Paneer, Peas, Tomatoes",1.9,2024-03-30,1,60,Haridwar,33,Female,Vegetarian,Mar,Winter,V4
64,140,1124,Roti,"Wheat Flour, Water, Ghee",1.4,2024-09-06,3,73,Gudivada,37,Male,Vegetarian,Sep,Monsoon,V8
89,130,1275,Thepla,"Wheat Flour, Fenugreek Leaves",2.6,2024-01-04,2,69,Jaunpur,35,Female,Vegetarian,Jan,Monsoon,V8
136,112,1133,Masoor Dal,"Red Lentils, Tomatoes",1.1,2024-01-24,5,85,Bhubaneswar,28,Female,Vegetarian,Jan,Summer,V8
92,133,1356,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",2.8,2024-07-29,4,193,Mau,30,Female,Vegetarian,Jul,Monsoon,V5
144,123,1397,Idli,"Rice, Urad Dal, Fenugreek Seeds",1.1,2024-03-08,2,148,New Delhi,28,Male,Vegetarian,Mar,Summer,V4
133,118,1425,Biryani,"Basmati Rice, Chicken or Vegetables",3.3,2024-01-02,5,118,Katihar,49,Male,Non-Vegetarian,Jan,Monsoon,V8
25,122,1277,Aloo Gobi,"Potatoes, Cauliflower",4.3,2024-03-08,5,112,Korba,27,Male,Vegetarian,Mar,Monsoon,V5
125,125,1028,Haldi Ki Sabzi,"Turmeric Root, Yogurt",2.2,2024-02-15,2,160,Delhi,49,Female,Vegetarian,Feb,Monsoon,V3
145,115,1373,Matar Paneer,"Paneer, Peas, Tomatoes",4.0,2024-05-10,3,110,Thrissur,42,Male,Vegetarian,May,Winter,V3
110,103,1355,Chawal,"Rice, Water",4.3,2024-01-08,4,193,Proddatur,37,Female,Vegetarian,Jan,Monsoon,V2
101,118,1235,Pulao,"Basmati Rice, Mixed Vegetables",2.9,2024-01-17,2,138,Agra,39,Male,Vegetarian,Jan,Summer,V2
126,124,1350,Biryani,"Basmati Rice, Chicken or Vegetables",4.7,2024-08-12,3,119,Raichur,37,Male,Non-Vegetarian,Aug,Winter,V9
118,146,1269,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",3.6,2024-07-28,3,81,Jamshedpur,47,Male,Vegetarian,Jul,Summer,V2
83,106,1049,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",3.3,2024-09-12,1,198,Machilipatnam,40,Female,Vegetarian,Sep,Winter,V7
17,136,1262,Roti,"Wheat Flour, Water, Ghee",1.8,2024-06-05,1,68,Tirunelveli,31,Male,Vegetarian,Jun,Monsoon,V6
81,123,1191,Rajma Chawal,"Kidney Beans, Rice",3.6,2024-03-17,5,129,Patna,39,Female,Vegetarian,Mar,Summer,V2
94,108,1259,Chawal,"Rice, Water",1.4,2024-04-29,1,57,Mahbubnagar,34,Female,Vegetarian,Apr,Monsoon,V4
64,140,1124,Roti,"Wheat Flour, Water, Ghee",1.4,2024-09-06,3,73,Gudivada,37,Male,Vegetarian,Sep,Monsoon,V8
105,101,1487,Biryani,"Basmati Rice, Chicken or Vegetables",3.8,2024-01-03,3,74,Hazaribagh,25,Male,Non-Vegetarian,Jan,Summer,V2
36,132,1113,Palak Paneer,"Spinach, Paneer, Tomatoes",2.9,2024-08-30,1,149,Thanjavur,45,Female,Vegetarian,Aug,Monsoon,V2
90,121,1205,Masoor Dal,"Red Lentils, Tomatoes",3.8,2024-04-13,4,75,Indore,31,Male,Vegetarian,Apr,Monsoon,V10
129,142,1310,Mutton Keema,Minced Mutton,1.2,2024-02-21,2,140,Chapra,37,Female,Non-Vegetarian,Feb,Summer,V7
31,103,1327,Korma,"Meat or Vegetables, Yogurt",3.4,2024-05-23,3,199,Cuttack,30,Male,Non-Vegetarian,May,Monsoon,V5
39,100,1334,Kadhi,"Gram Flour, Yogurt",4.1,2024-05-29,5,139,Sultan Pur Majra,21,Female,Vegetarian,May,Monsoon,V9
92,133,1356,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",2.8,2024-07-29,4,193,Mau,30,Female,Vegetarian,Jul,Monsoon,V5
72,109,1465,Matar Paneer,"Paneer, Peas, Tomatoes",1.1,2024-07-04,3,135,Amroha,22,Male,Vegetarian,Jul,Winter,V1
136,112,1133,Masoor Dal,"Red Lentils, Tomatoes",1.1,2024-01-24,5,85,Bhubaneswar,28,Female,Vegetarian,Jan,Summer,V8
130,134,1158,Dal Tadka,"Yellow Lentils, Tomatoes",2.9,2024-08-06,3,88,Bijapur,24,Male,Vegetarian,Aug,Winter,V2
73,145,1099,Sabudana Khichdi,"Sabudana, Peanuts, Potatoes",4.7,2024-04-16,3,52,Fatehpur,30,Male,Vegetarian,Apr,Summer,V7
160,124,1245,Dal Tadka,"Yellow Lentils, Tomatoes",3.0,2024-01-03,4,102,Saharsa,22,Female,Vegetarian,Jan,Monsoon,V1
175,100,1471,Haldi Ki Sabzi,"Turmeric Root, Yogurt",3.5,2024-03-29,1,111,Sonipat,38,Male,Vegetarian,Mar,Winter,V4
196,119,1394,Thepla,"Wheat Flour, Fenugreek Leaves",2.6,2024-03-31,5,169,Chennai,45,Female,Vegetarian,Mar,Summer,V2
173,122,1425,Pulao,"Basmati Rice, Mixed Vegetables",1.1,2024-01-24,4,186,Muzaffarnagar,45,Female,Vegetarian,Jan,Winter,V3
136,112,1133,Masoor Dal,"Red Lentils, Tomatoes",1.1,2024-01-24,5,85,Bhubaneswar,28,Female,Vegetarian,Jan,Summer,V8
47,130,1275,Thepla,"Wheat Flour, Fenugreek Leaves",2.6,2024-01-01,1,149,Jaunpur,35,Female,Vegetarian,Jan,Monsoon,V8
116,116,1077,Idli,"Rice, Urad Dal, Fenugreek Seeds",1.8,2024-09-04,2,190,Sasaram,21,Male,Vegetarian,Sep,Winter,V1
145,115,1373,Matar Paneer,"Paneer, Peas, Tomatoes",4.0,2024-05-10,3,110,Thrissur,42,Male,Vegetarian,May,Winter,V3
75,124,1124,Thepla,"Wheat Flour, Fenugreek Leaves",1.6,2024-07-31,2,51,Gurgaon,39,Female,Vegetarian,Jul,Summer,V2
161,115,1343,Masoor Dal,"Red Lentils, Tomatoes",1.5,2024-07-11,4,75,Bongaigaon,29,Male,Vegetarian,Jul,Monsoon,V7
65,100,1417,Thepla,"Wheat Flour, Fenugreek Leaves",1.9,2024-07-01,1,90,Amritsar,45,Male,Vegetarian,Jul,Monsoon,V7
171,141,1343,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",1.3,2024-04-14,1,166,Ghaziabad,21,Female,Vegetarian,Apr,Winter,V4
122,142,1165,Rava Upma,"Semolina, Mustard Seeds, Curry Leaves, Vegetables",1.8,2024-01-08,4,199,Howrah,21,Female,Vegetarian,Jan,Monsoon,V7
110,103,1355,Chicken Curry,"Chicken, Tomatoes",1.7,2024-07-08,5,160,Nangloi Jat,41,Male,Non-Vegetarian,Jul,Monsoon,V6
159,103,1380,Aloo Gobi,"Potatoes, Cauliflower",3.3,2024-08-22,1,187,Thiruvananthapuram,40,Male,Vegetarian,Aug,Monsoon,V9
193,115,1156,Fish Fry,Fish,2.0,2024-05-07,1,156,Jammu,41,Male,Non-Vegetarian,May,Monsoon,V1
96,118,1147,Kadhi,"Gram Flour, Yogurt",4.0,2024-09-14,4,154,Jamalpur,48,Male,Vegetarian,Sep,Winter,V8
33,138,1137,Matar Paneer,"Paneer, Peas, Tomatoes",4.8,2024-07-26,2,50,Thrissur,45,Female,Vegetarian,Jul,Monsoon,V9
188,116,1305,Idli,"Rice, Urad Dal, Fenugreek Seeds",2.7,2024-05-21,5,143,Pimpri-Chinchwad,28,Female,Vegetarian,May,Winter,V3
11,149,1173,Mutton Keema,Minced Mutton,4.3,2024-05-22,3,149,Shimoga,33,Male,Non-Vegetarian,May,Monsoon,V7
184,105,1103,Fish Fry,Fish,4.3,2024-09-18,3,106,Barasat,45,Male,Non-Vegetarian,Sep,Winter,V8
198,129,1486,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",1.3,2024-05-03,2,74,Belgaum,47,Female,Vegetarian,May,Summer,V7
30,114,1151,Aloo Gobi,"Potatoes, Cauliflower",4.8,2024-02-29,3,187,Raiganj,36,Male,Vegetarian,Feb,Winter,V2
197,133,1021,Chawal,"Rice, Water",4.2,2024-06-22,5,69,Kavali,44,Male,Vegetarian,Jun,Summer,V2
151,127,1233,Rajma Chawal,"Kidney Beans, Rice",4.1,2024-07-10,4,77,Katni,34,Male,Vegetarian,Jul,Summer,V6
133,118,1425,Biryani,"Basmati Rice, Chicken or Vegetables",3.3,2024-01-02,5,118,Katihar,49,Male,Non-Vegetarian,Jan,Monsoon,V8
199,132,1123,Masoor Dal,"Red Lentils, Tomatoes",4.8,2024-05-16,4,129,Shivpuri,22,Male,Vegetarian,May,Monsoon,V2
106,127,1335,Idli,"Rice, Urad Dal, Fenugreek Seeds",2.5,2024-03-21,1,71,Alwar,38,Female,Vegetarian,Mar,Winter,V8
198,129,1486,Poha,"Flattened Rice, Mustard Seeds, Curry Leaves",1.3,2024-05-03,2,74,Belgaum,47,Female,Vegetarian,May,Summer,V7
127,109,1437,Aloo Paratha,"Potatoes, Wheat Flour, Ghee",1.7,2024-09-08,3,120,Sikar,32,Female,Vegetarian,Sep,Monsoon,V1
